""	"PC9.DMSO1"	"PC9.DMSO2"	"PC9.DMSO3"	"PC9.osiacute1"	"PC9.osiacute2"	"PC9.osiacute3"	"PC9.osiDTP1"	"PC9.osiDTP2"	"PC9.osiDTP3"
"ABHD4"	48.1050706841981	49.9180148603885	39.0342427630138	249.558650078377	272.673601237155	239.531877933755	249.907070008368	236.954992515497	245.183409624976
"ABHD5"	26.8544962899778	24.730402683026	30.0723727148113	19.0612328936297	16.8735208680801	16.7345311123506	18.4437900827924	16.6495307745913	18.1950682384472
"ABHD6"	12.3463084036164	10.4958300736109	11.6851318307637	6.007706236327	4.90057039234294	6.61783276227908	7.68936252398966	7.07925891265887	8.13389308111459
"ABHD8"	22.6334062302594	24.6566450515068	19.7700536645215	34.2901582655537	38.7076410989892	37.5231048640485	42.112330967392	41.2188317077716	42.3854943313955
"ABI1"	47.8522750997044	53.46540492832	53.0061439122489	80.2589762096688	78.2813072533695	82.8016224162244	72.2060795956809	68.3326498431774	69.8953061259326
"ABI2"	47.7248096840084	48.5795069436837	54.1360641392694	36.9713400100093	43.8256490959364	41.5609013846758	38.9292207553077	39.8465338202435	34.5646053713468
"ABI3"	0	0.037482797410603	0	0.0447853164036934	0.0170348273897254	0	0.0181296004527507	0.117637740119847	0.0277891106273874
"ABI3BP"	0.182856534616577	0.535417306483232	0.2792707640027	1.61031516093486	1.07890121784138	0.700672650705208	1.42559945976333	2.50914690774197	1.7564988453597
"ABITRAM"	21.7976501924514	21.7914558971801	22.9594221964094	21.3555873573371	22.8973750809657	20.0208954242832	20.4607532380726	19.73494068208	18.3060052092559
"ABL1"	88.3526413256453	78.1157042093457	77.9772947294321	82.7687827563156	79.6207442120872	78.8478658677447	72.2610589584594	66.8844063511753	76.8000547906519
"ABL2"	66.3395419161706	70.5047747122615	73.8298327092909	35.9503307826003	38.1448992389617	34.1981976101515	43.9050826632906	41.5122036871358	43.9644210350608
"ABLIM1"	126.213408359898	126.633964767535	140.489310160051	222.639808004006	219.885828318932	244.41911523242	243.538040598586	240.312229480546	245.462340509814
"ABLIM2"	2.17538460364907	0.841576868695134	0.372626329056366	2.06113388608929	2.2721168384247	4.24370994469937	2.13512760046637	2.60515279715468	3.14470726861543
"ABLIM3"	141.1294369597	151.567192038174	153.465081769649	205.727675305131	163.843190941496	171.559431374787	120.920089542778	132.899474142706	117.260538449783
"ABO"	0	0	0	0	0	0	0.116012802836278	0.100251242808709	0
"ABR"	81.2039272601722	87.3911740695802	85.9777412592747	75.2363520559288	72.9436198614141	72.2165999850622	86.7310363492589	90.3758061292743	78.6383840671134
"ABRA"	0.0264758984126427	0.0417839144121401	0.0760649901310047	0	0.0212330553605705	0.0243061933603267	0.02831832536864	0	0.0217013359015399
"ABRACL"	25.5001499478779	28.8215651262731	27.1192951719363	32.86321474504	32.0257645324781	33.1705529379118	31.6461608414772	25.5396655983836	25.1030217485317
"ABRAXAS1"	4.13582467637328	3.62487025925291	2.93324360696639	6.49182578397727	7.84521323968678	6.2910015126471	6.55848320675508	6.69155726627195	6.09588792853221
"ABRAXAS2"	18.1401486786194	16.5122065352773	17.3207895782957	13.4738814651856	12.3954875684166	13.9784301327421	14.335121005728	15.8845297252666	18.1187366895241
"ABT1"	39.5588855469697	37.2820290640379	36.564506810655	27.7403680085893	29.9439013630523	27.4187069854008	30.3085027340189	28.1296797024803	26.2956113745122
"ABTB1"	6.96267634054969	11.4166989873717	7.11097982303367	57.8312902698332	56.0790250735655	54.6158030270853	43.1914253417071	57.3090218112947	43.0652986124037
"ABTB2"	81.0111998176648	76.7877764682373	85.3673340255195	44.0276118705259	40.2478986511353	43.1209150763177	72.40914789103	56.0804230568191	69.1041804573373
"AC000093.1"	0.216012114074648	0.611566935176346	0.357928097838827	2.36605524620711	1.59564331380367	2.0503374231865	3.29178724513989	3.9918437544388	2.73436840206951
"AC000120.3"	0	0.0614861396600183	0	0.0384721223500914	0	0	0.134337330621392	0	0
"AC001226.2"	0.396501260225953	0.275516193157977	0.151847418660047	0.0752040368884249	0.387016560087081	0.129280503988009	0.149370437869619	0.512538811132904	0.436366475676799
"AC002094.3"	0.096583165570545	0	0	0	0	0.0567514340804606	0	0	0
"AC002310.4"	0.669139178574139	0	5.89405903526769e-07	5.1295748663806e-07	9.95650006806601e-10	0	0.726975200674896	2.4107987213448	2.67347097542261
"AC002316.1"	57.7264113630223	52.6683679838239	58.0283774399472	21.5240150167898	19.3481961615664	26.5263606974432	45.490189873816	47.494385960328	58.6969185027419
"AC002985.1"	0.569039483401746	0.692685520148754	0.414363272977456	0.344762125112789	0.290685831918771	0.488933206419978	0.380157407562669	0.30100972700223	0.300023632111367
"AC002996.1"	5.14922209857991e-08	0.23945379358641	0	0	0.0987753837764468	0	0	0	0
"AC003002.1"	0	0	0.0139734235924054	0	0.06749306095275	0	0	0	0
"AC003002.2"	0.0639901703080103	0.0640499335203809	0.0563758729258772	0	0	0.147438301170895	0.605790385583819	0.0909028415561995	0.217168123096839
"AC003002.3"	0.167495614663819	0.0815134154749907	0.0902577152391095	0.349430121340308	0.106274263423102	0.295349415314285	0.433753226771832	0.286991566371191	0.528790925005367
"AC003005.1"	0	0	0	0	0	0	0.0562219195958449	0	0
"AC003006.1"	0.184950395292824	0.0686899064935407	0.226648471894821	0.0463355708772786	0.232943259554414	0.14662442666023	0.364114504171444	0.334696912791222	0.297938169370867
"AC003688.2"	1.21710934492056	1.41585245763036	1.27076890158903	3.85124432194414	4.12166792243647	3.12829192978665	2.29035817732348	3.75646397629255	3.48308406531624
"AC004076.1"	0.0566706810178828	0.142248854456384	0.0636852678788284	0.175279874516693	0.328446515555915	0.27056100330915	0.570639634456078	0.186474448097918	0.0665658170747007
"AC004080.3"	0	0	0	0	0	0	0	0	0
"AC004151.1"	46.0628223955199	52.5380013292003	40.5436697661501	36.7827421876429	40.8833512078175	39.432915337239	47.3763343651202	43.7231232353279	45.6055160114316
"AC004223.3"	0	0	0	0	0.0545147973990175	0.434542870958511	0	0.121195574243945	0.271407529330273
"AC004556.3"	0.100069430592407	0.0901305788710343	0	0.486663624681413	0	0.164662341017429	0	0	0.091911078942266
"AC004593.2"	0	0	0	0	0	0	0	0	0
"AC004691.2"	0	0.0436905259028833	0	0.0609082273585637	0	0.0551543335448081	0	0	0
"AC004805.1"	0.102558559703751	0	0	0	0	0	0.358528297352507	0	0
"AC004832.3"	3.49386506500054	4.07036782502566	1.48353708912497	1.74525507823539	2.38225799710636	2.05146778279936	2.29238473559852	2.69509632825789	2.1757458166363
"AC004922.1"	1.58227312755323	1.74201541179967	0.963555199526788	1.20198474928243	0.953897669004092	1.44150655052615	0.732103192454625	0.987806896580251	1.56092228917249
"AC004997.1"	0.686164610695789	1.91085782453159	2.2256139430359	2.01485126709522	2.12879304656771	2.44796634686039	0.362805891395651	2.57355725262995	1.75374878821568
"AC005020.2"	0	0.0843572775466985	0	0.0731359381104659	0.116291374118224	0	0.185618883410766	0	0
"AC005041.1"	1.18049816386851	0.848389213988579	1.9618554269045	1.37437896689005	2.90710778146137	2.04935136786239	1.10847976068929	2.32497511394774	3.21805941182334
"AC005154.5"	0	0	0	0.073528396292256	0	0.103930676959786	0	0	0.0284917758123514
"AC005258.1"	0	0	0	0	0	0	0	0	0
"AC005261.1"	17.5743967304302	20.2491682775658	17.8168674505181	28.7419124486188	26.8602327321648	26.0815038895158	31.0236295588085	28.3443265826698	29.9116062113989
"AC005324.3"	0.566556823908553	0.23153823049112	0.215225320754647	1.88235182711056	1.28757704524402	1.2961037269895	2.34716669283489	1.89139082851976	2.56709430102568
"AC005324.4"	0.165368678799558	0.251575403657597	0.879492954099965	0.582375376465398	0.47781611286435	0.177984683532947	0.742819492320899	0.0745694617061632	0.154548334397969
