gene	PC9.DMSO1	PC9.DMSO2	PC9.DMSO3	PC9.osiacute1	PC9.osiacute2	PC9.osiacute3	PC9.osiDTP1	PC9.osiDTP2	PC9.osiDTP3
USE1	482.5872869	571.6008297	509.875667	735.9416499	783.6232434	689.2658659	619.8497336	745.9878032	893.8124539
USF1	929.9638462	1324.850714	1066.501529	1524.359253	1500.937418	1338.421621	973.9477863	1189.176286	1411.294113
USF2	2875.801434	3584.207877	3057.908245	3094.159711	3984.173857	3549.752753	2989.636422	3675.756006	4163.736437
USF3	691.2327979	951.3477582	804.9704793	850.7742595	1176.996349	811.7162619	918.6133131	981.6695894	1309.881464
USH1C	0	0	0	0	0	0	0	0	0
USH1G	0	1.793307639	2.032563849	14.14546808	24.99930915	41.64161665	36.67693621	85.80770874	65.93804919
USH2A	0.472524498	2.863056149	0.952575794	0	2.957296251	5.820962057	10.17772557	8.683497046	0.947276216
USHBP1	11.2100668	29.33391247	26.52065677	28.62298203	26.35435657	19.17363093	15.51964234	24.50348737	15.23317201
USO1	3579.414785	4908.633642	4614.108707	4276.977773	5106.195883	4628.154416	4329.880199	5419.942087	5755.173283
USP1	3302.117628	3994.795382	3745.813821	1272.784481	1270.435885	1269.73808	1876.611334	2206.472325	2468.460395
USP10	5702.496708	7016.847657	6153.200489	3216.396274	3667.256263	3532.381164	3368.692265	3182.494734	3792.583384
USP11	995.4256391	1132.626256	1058.917284	1896.460733	2072.776094	2254.813268	2788.982704	2801.238709	3155.397363
USP12	1760.684306	2475.708399	2196.399826	1159.318977	1305.429202	1114.567638	1531.107938	1700.021898	1889.25105
USP13	2821.101441	3320.038499	2541.392802	1293.185376	1096.930745	1574.267927	1349.119508	1348.608558	1471.720499
USP14	7073.671646	8856.206736	8412.733737	3977.196944	3943.703547	3792.170227	3989.963441	4336.938919	5029.816467
USP15	2028.008337	2225.13253	2002.586632	1398.762694	1717.720883	1490.060644	1118.807745	1243.248703	1479.901089
USP16	1297.185125	1764.158822	1610.163935	1124.762055	1362.478086	1292.285019	1155.265696	1100.45906	1343.045546
USP17L1	0	0	0	0	0	0	0	0	0
USP17L10	0	0	0	0	0	0	0	0	0
USP17L11	0	0	0	0	0	0	0	0	0
USP17L12	0	0	0	0	0	0	0	0	0
USP17L13	0	0	0	0	0	0	0	0	0
USP17L15	0	0	0	0	0	0	0	0	0
USP17L17	0	0	0	0	0	0	0	0	0
USP17L18	0	0	0	0	0	0	0	0	0
USP17L19	0	0	0	0	0	0	0	0	0
USP17L2	0	0	0	0	0	0	0	0	0
USP17L20	0	0	0	0	0	0	0	0	0
USP17L21	0	0	0	0	0	0	0	0	0
USP17L22	0	0	0	0	0	0	0	0	0
USP17L23	0	0	0	0	0	0	0	0	0
USP17L24	0	0	0	0	0	0	0	0	0
USP17L25	0	0	0	0	0	0	0	0	0
USP17L26	0	0	0	0	0	0	0	0	0
USP17L27	0	0	0	0	0	0	0	0	0
USP17L28	0	0	0	0	0	0	0	0	0
USP17L29	0	0	0	0	0	0	0	0	0
USP17L3	0	0	0	0	0	0	0	0	0
USP17L30	0	0	0	0	0	0	0	0	0
USP17L4	0	0	0	0	0	0	0	0	0
USP17L5	0	0	0	0	0	0	0	0	0
USP17L7	0	0	0	0	0	0	0	0	0
USP17L8	0	0	0	0	0	0	0	0	0
USP18	204.4372806	267.5278186	196.3636939	126.6466247	101.7686556	144.0271991	204.3816166	245.5141359	304.1580147
USP19	2784.045017	3734.735526	3327.170563	4247.853228	4770.163108	3980.615226	3169.455736	4202.249427	4621.865335
USP2	143.6433576	211.5407617	198.5392763	433.9924888	635.9525886	715.636178	518.2674894	460.1044121	534.950989
USP20	792.0798202	1179.673428	781.0425509	1618.512308	1537.429883	1346.434189	1408.416835	1496.112448	1798.88947
USP21	1629.340481	2085.444164	1501.735641	1949.633231	2363.531306	2149.426474	1546.148652	1891.927469	2140.987527
USP22	11520.62267	13682.86457	9668.776351	10999.76784	13524.41479	11884.97272	13508.9533	14069.72436	18375.92124
USP24	3863.403651	3889.092194	3937.718251	4885.120492	5098.934205	4472.096344	4287.324486	4974.345668	5514.952963
USP25	1017.997553	1321.244115	948.4628345	1092.414901	1676.922611	1238.331284	1130.579591	1488.84883	1609.518807
USP26	5.677095433	2.474261306	10.14314321	2.456989082	9.17423972	4.051462904	15.21355834	0.98798111	6.070576698
USP27X	104.420443	143.527805	80.6958909	117.3181355	100.0290762	132.7325222	130.7058082	140.4437206	150.6052384
USP28	1496.625331	2030.149591	1667.441815	1029.381915	995.9119312	1032.65516	714.9596466	1013.0495	1134.761542
USP29	5.622256157	0.55520933	0.112580431	0	0	0	1.241949225	2.281189593	2.254570445
USP3	1451.645334	1900.427345	1826.449474	1836.356896	2033.553296	1936.085389	882.1375937	1038.795836	1319.539321
USP30	386.1766668	337.2369607	383.3681863	883.2488869	711.9197746	734.4278038	371.8117965	388.2810137	679.9151527
USP31	1438.83052	1786.345412	1771.796607	395.2500703	349.8341533	394.6605526	641.7488557	579.1249813	825.0968291
USP32	1970.897638	2840.215784	2274.63505	2217.027629	2419.920135	2022.433614	2033.357245	2132.835373	2719.232106
USP33	2571.77327	3761.22115	3067.957493	2692.253552	3138.291865	2834.794587	2760.635601	3166.581721	3397.983081
USP34	5209.229479	7653.860756	6286.111586	5159.695463	6622.94208	5794.422775	5135.148138	5331.761941	6481.450395
USP35	690.5863701	1008.528552	799.949652	1172.737813	1295.687377	1026.980431	755.1810222	1101.156799	1239.347125
USP37	1191.737319	1213.584449	1037.863864	925.8390906	950.5244881	694.344535	921.9328432	1240.471186	1413.538955
USP38	1765.109189	2061.510113	1751.707749	1206.303609	1285.400625	1102.637669	1293.377346	1474.186582	1765.307819
USP39	3046.59619	3739.28047	2982.249605	1597.372371	1985.305652	1869.625681	1918.487058	2234.795999	2548.957396
USP4	927.881699	1324.147725	1081.51	1039.67426	1258.592511	948.2357771	899.1787355	1314.953122	1548.918784
USP40	3395.252246	4524.306082	3703.758045	5249.900347	6130.182659	5925.836643	4515.681248	5886.185332	6017.806725
USP41	0	0.866827068	0	1.161669517	0	0	0	1.729237446	0.969699371
USP42	983.3778735	1318.836121	1074.857514	1098.538713	1230.568477	1145.394292	1218.680588	1240.84129	1671.801967
USP43	317.5264692	436.7086538	340.4395857	616.3555899	833.6382702	721.1127902	581.8660337	813.1012607	950.7778175
USP44	221.2057259	235.5584891	247.5352213	116.5351995	175.0857033	171.0280662	101.4939249	123.3139685	98.02512425
USP45	500.0658723	599.5925406	462.9548465	229.5981417	249.0592697	298.2557183	353.448386	332.3539323	371.5007964
USP46	908.1841322	1336.823395	1031.001652	1181.396762	1283.803831	1019.007818	1065.446325	1029.205245	1192.198268
USP47	1928.297423	2553.714277	2226.154218	1465.598909	1644.812388	1769.238196	1467.487899	1667.068273	2111.915324
USP48	1521.291516	1814.563074	1500.564949	1487.401384	2181.343875	1690.471004	1713.848201	2080.960574	2128.186878
USP49	66.47842207	54.84963578	54.15415158	98.96182899	178.9225228	155.4303488	137.3159546	158.7614905	221.183179
